iter	Passed	Remaining
0	147	147609
1	149	74718
2	151	50363
3	153	38257
4	155	31012
5	157	26109
6	159	22594
7	161	19985
8	162	17942
9	164	16275
10	166	15009
11	168	13871
12	169	12884
13	170	12028
14	171	11288
15	172	10637
16	173	10058
17	174	9541
18	175	9065
19	176	8626
20	176	8232
21	177	7876
22	177	7552
23	178	7257
24	179	6985
25	179	6731
26	180	6496
27	180	6276
28	181	6073
29	181	5884
30	182	5708
31	183	5545
32	183	5391
33	184	5246
34	185	5111
35	186	4982
36	186	4861
37	187	4746
38	188	4635
39	188	4528
40	189	4429
41	190	4334
42	190	4244
43	191	4156
44	191	4071
45	192	3990
46	193	3913
47	193	3839
48	194	3767
49	194	3701
50	195	3636
51	196	3574
52	196	3513
53	197	3453
54	197	3396
55	198	3340
56	198	3286
57	199	3234
58	199	3185
59	200	3137
60	200	3092
61	201	3048
62	202	3005
63	202	2963
64	203	2922
65	203	2882
66	204	2843
67	204	2805
68	205	2769
69	205	2735
70	206	2702
71	207	2672
72	207	2640
73	208	2609
74	209	2579
75	209	2550
76	210	2522
77	210	2493
78	211	2464
79	211	2437
80	212	2410
81	213	2385
82	213	2357
83	213	2333
84	214	2311
85	215	2287
86	215	2264
87	216	2241
88	216	2219
89	217	2197
90	217	2176
91	218	2155
92	219	2137
93	219	2118
94	220	2099
95	220	2080
96	221	2061
97	221	2042
98	222	2024
99	222	2006
100	223	1989
101	224	1972
102	224	1955
103	225	1941
104	225	1925
105	226	1910
106	227	1894
107	227	1879
108	228	1864
109	228	1849
110	229	1834
111	229	1820
112	230	1806
113	230	1792
114	231	1779
115	231	1766
116	232	1754
117	233	1742
118	233	1729
119	234	1717
120	234	1706
121	235	1693
122	235	1682
123	236	1670
124	237	1660
125	237	1649
126	238	1637
127	238	1626
128	239	1616
129	239	1605
130	240	1594
131	241	1585
132	241	1574
133	242	1564
134	242	1554
135	243	1545
136	243	1536
137	244	1526
138	244	1517
139	245	1508
140	245	1498
141	246	1488
142	246	1479
143	247	1470
144	247	1461
145	248	1453
146	248	1444
147	249	1437
148	250	1429
149	250	1421
150	251	1413
151	251	1404
152	252	1396
153	252	1388
154	253	1380
155	253	1373
156	254	1365
157	254	1358
158	255	1351
159	256	1344
160	256	1337
161	257	1329
162	257	1322
163	258	1315
164	258	1308
165	259	1301
166	259	1294
167	260	1288
168	260	1281
169	261	1275
170	261	1269
171	262	1263
172	263	1257
173	263	1251
174	264	1245
175	264	1239
176	265	1233
177	265	1227
178	266	1221
179	266	1215
180	267	1210
181	268	1204
182	268	1199
183	269	1193
184	269	1187
185	270	1182
186	270	1176
187	271	1171
188	271	1165
189	272	1160
190	272	1155
191	273	1150
192	273	1145
193	274	1140
194	275	1135
195	275	1130
196	276	1125
197	276	1120
198	277	1115
199	277	1110
200	278	1105
201	278	1101
202	279	1096
203	279	1092
204	280	1087
205	281	1083
206	281	1078
207	282	1073
208	282	1069
209	283	1064
210	283	1060
211	284	1055
212	284	1051
213	285	1048
214	285	1043
215	286	1039
216	287	1035
217	287	1031
218	288	1027
219	288	1023
220	289	1018
221	289	1014
222	290	1010
223	290	1006
224	291	1003
225	291	999
226	292	995
227	292	991
228	293	987
229	293	984
230	294	980
231	294	976
232	295	972
233	296	969
234	296	966
235	297	964
236	298	960
237	298	957
238	299	953
239	299	949
240	300	946
241	300	942
242	301	939
243	302	936
244	302	932
245	303	929
246	303	926
247	304	923
248	305	920
249	305	917
250	306	914
251	306	910
252	307	907
253	307	904
254	308	900
255	308	897
256	309	894
257	310	891
258	310	888
259	311	885
260	311	882
261	312	879
262	312	876
263	313	873
264	313	870
265	314	867
266	314	864
267	315	861
268	316	859
269	316	856
270	317	853
271	317	850
272	318	847
273	318	845
274	319	842
275	319	839
276	320	836
277	321	833
278	321	831
279	322	828
280	322	826
281	323	823
282	324	820
283	324	818
284	325	815
285	325	813
286	326	810
287	326	807
288	327	805
289	327	802
290	328	800
291	329	797
292	329	795
293	330	793
294	330	790
295	331	788
296	331	785
297	332	783
298	332	780
299	333	778
300	334	775
301	334	773
302	335	771
303	335	768
304	336	766
305	336	763
